Method,Schema,Dataset,Metric,F1,Precision,Recall
AMAD,mts,machine-1,best f1 under pa,0.8856234079188431,0.9112732227646457,0.8882148234499044
AMAD,mts,machine-1,event-based f1 under pa with mode log,0.6575007808728734,0.7673780382289749,0.6520613955359635
AMAD,mts,machine-1,event-based f1 under pa with mode squeeze,0.5338336677470797,0.6036649520692073,0.6175824175824175
AMAD,mts,machine-2,best f1 under pa,0.9707060459223231,0.958177331203523,0.984001881920162
AMAD,mts,machine-2,event-based f1 under pa with mode log,0.7643233696158611,0.763231187536743,0.8018658646436425
AMAD,mts,machine-2,event-based f1 under pa with mode squeeze,0.6648324514991174,0.7354377104377101,0.6883107633107631
AMAD,mts,machine-3,best f1 under pa,0.922285633044694,0.9569174697434516,0.9022448951028387
AMAD,mts,machine-3,event-based f1 under pa with mode log,0.7134059410854592,0.7665197825219454,0.7167326623769456
AMAD,mts,machine-3,event-based f1 under pa with mode squeeze,0.592067578175743,0.6493002887608004,0.636972875609239
CAD,mts,machine-1,best f1 under pa,0.8909843059098742,0.9023743521665724,0.9099425167692514
CAD,mts,machine-1,event-based f1 under pa with mode log,0.6777932362341756,0.7799743710105945,0.7020447221999626
CAD,mts,machine-1,event-based f1 under pa with mode squeeze,0.550414047396911,0.6172772829022829,0.6759157509157508
CAD,mts,machine-2,best f1 under pa,0.9710411214068443,0.9521283690150847,0.992084451890109
CAD,mts,machine-2,event-based f1 under pa with mode log,0.8010552627995275,0.8297540803098852,0.7992595159261826
CAD,mts,machine-2,event-based f1 under pa with mode squeeze,0.7168606079511615,0.8560923242082661,0.6630970880970879
CAD,mts,machine-3,best f1 under pa,0.927993512052322,0.947009589087007,0.9228565901220663
CAD,mts,machine-3,event-based f1 under pa with mode log,0.7489157531876015,0.8564264401589771,0.7129261240876485
CAD,mts,machine-3,event-based f1 under pa with mode squeeze,0.6492791972618036,0.7258133280860553,0.6617662640389912
Catch,naive,machine-1,best f1 under pa,0.7122130033636449,0.6885355301749565,0.7616681011793138
Catch,naive,machine-1,event-based f1 under pa with mode log,0.19887661586478272,0.5933623902049506,0.16135990433293557
Catch,naive,machine-1,event-based f1 under pa with mode squeeze,0.14805509935041355,0.3888659951159949,0.10479624542124541
Catch,naive,machine-2,best f1 under pa,0.7746896548590744,0.7392604836716605,0.8626295077243354
Catch,naive,machine-2,event-based f1 under pa with mode log,0.30943932986535255,0.5116558289407875,0.3582340765674099
Catch,naive,machine-2,event-based f1 under pa with mode squeeze,0.2559476032128246,0.5249922268270889,0.2400405150405149
Catch,naive,machine-3,best f1 under pa,0.7547337778533585,0.7915308476699923,0.7673877872899105
Catch,naive,machine-3,event-based f1 under pa with mode log,0.3649510517620084,0.5676719270552482,0.420511767925561
Catch,naive,machine-3,event-based f1 under pa with mode squeeze,0.2612180959930781,0.5288540911245789,0.3657872430599703
CoarseGrainedMTS,mts,machine-1,best f1 under pa,0.6520619951000357,0.6340193081896364,0.7119638394365845
CoarseGrainedMTS,mts,machine-1,event-based f1 under pa with mode log,0.3468962439222604,0.6603196477637818,0.38531388860636256
CoarseGrainedMTS,mts,machine-1,event-based f1 under pa with mode squeeze,0.2506407090592768,0.6074855212355208,0.3027586996336996
CoarseGrainedMTS,mts,machine-2,best f1 under pa,0.7483514671913563,0.7307224241043374,0.9283940823712629
CoarseGrainedMTS,mts,machine-2,event-based f1 under pa with mode log,0.511261839015503,0.6031857781967875,0.6390095101206212
CoarseGrainedMTS,mts,machine-2,event-based f1 under pa with mode squeeze,0.4549235664461688,0.7697752110728676,0.4920042920042919
CoarseGrainedMTS,mts,machine-3,best f1 under pa,0.6886538317225053,0.7278749537034037,0.7816454552795858
CoarseGrainedMTS,mts,machine-3,event-based f1 under pa with mode log,0.4692236382414915,0.7110021474969667,0.451674772092195
CoarseGrainedMTS,mts,machine-3,event-based f1 under pa with mode squeeze,0.38814471683807494,0.5844360674915063,0.42461326552235634
EnhancedVoting,mts,machine-1,best f1 under pa,0.9012803044048562,0.8958762543866746,0.9113528415177079
EnhancedVoting,mts,machine-1,event-based f1 under pa with mode log,0.5921269143628947,0.6876840349666437,0.551537309938952
EnhancedVoting,mts,machine-1,event-based f1 under pa with mode squeeze,0.46054395951929117,0.7592532467532465,0.3812843406593406
EnhancedVoting,mts,machine-2,best f1 under pa,0.9030469060360914,0.9401762455027658,0.8787190393640407
EnhancedVoting,mts,machine-2,event-based f1 under pa with mode log,0.6582522500498149,0.7389896691741006,0.6570943287609956
EnhancedVoting,mts,machine-2,event-based f1 under pa with mode squeeze,0.5718236012353652,0.7901234567901233,0.4903966403966402
EnhancedVoting,mts,machine-3,best f1 under pa,0.835763324649104,0.8268935720031013,0.8725831457652579
