Method,machine-1,machine-2,machine-3
AMAD,0.8856234079188431,0.9707060459223232,0.922285633044694
CAD,0.8909843059098742,0.9710411214068444,0.927993512052322
Catch,0.7122130033636449,0.7746896548590744,0.7547337778533585
CoarseGrainedMTS,0.6520619951000357,0.7483514671913563,0.6886538317225053
HMMoE,0.8968922070153068,0.973355433540052,0.9310467762314888
HyperTimesNet,0.8860062115037599,0.9239395044670392,0.8636300928863623
LightMMoE,0.8936190059257334,0.9779587221771068,0.930666419688187
MTSExample,0.8908859684948505,0.979778049890896,0.9392349274212388
MTSMixerLighter,0.9174507712272812,0.9374748464871684,0.9255090233475446
MTSTimesNet,0.7411227679111594,0.8186830325552944,0.7636655020284181
NewTimesNet,0.9050894205575212,0.925933583854214,0.8606656828470942
ReconstructionMTS,0.8237547461208742,0.903379680397124,0.7956271100202176
TimeMixer,0.7075482441598613,0.7224038025750502,0.6906868362031752
