Method,machine-1,machine-2,machine-3
AMAD,0.9112732227646456,0.958177331203523,0.9569174697434516
CAD,0.9023743521665724,0.9521283690150848,0.947009589087007
Catch,0.6885355301749565,0.7392604836716605,0.7915308476699923
CoarseGrainedMTS,0.6340193081896364,0.7307224241043374,0.7278749537034037
HMMoE,0.9137323096936328,0.96362455103657,0.9658816360736604
HyperTimesNet,0.8933237862356235,0.884468417266734,0.8301517613315826
LightMMoE,0.9059888445796976,0.9691906377815158,0.9486540011692476
MTSExample,0.9193002665633574,0.9760160020615049,0.985348181060398
MTSMixerLighter,0.9556504649538926,0.9059890499440554,0.9216773055060056
MTSTimesNet,0.7289464519839611,0.8156210294828856,0.7785944095761436
NewTimesNet,0.8969694682076619,0.8799548513693666,0.8129918264302507
ReconstructionMTS,0.8838300708764438,0.9365614680949038,0.8641822819815094
TimeMixer,0.6819241724087681,0.6653965972695265,0.7524658732639428
