Method,machine-1,machine-2,machine-3
AMAD,0.7673780382289749,0.763231187536743,0.7665197825219454
CAD,0.7799743710105945,0.8297540803098852,0.8564264401589771
Catch,0.5933623902049506,0.5116558289407875,0.5676719270552482
CoarseGrainedMTS,0.6603196477637818,0.6031857781967875,0.7110021474969667
HMMoE,0.8343585145974853,0.8639941621207772,0.8180616786014887
HyperTimesNet,0.5099699172947929,0.3242409744325444,0.6002575751879271
LightMMoE,0.7361947223007086,0.8396805907537586,0.8343119599698546
MTSExample,0.8320895335718481,0.8661447551937195,0.8180093461926841
MTSMixerLighter,0.5141221632507975,0.6818109855622322,0.7225981592588838
MTSTimesNet,0.6248604652916839,0.5557204418994647,0.8607174216930313
NewTimesNet,0.5037108557828118,0.3339687293776013,0.5024575238421302
ReconstructionMTS,0.8545596016184251,0.8612646530332848,0.7473988943827211
TimeMixer,0.8201086956521738,0.6710630826049091,0.600834598324997
