Method,machine-1,machine-2,machine-3
AMAD,0.6036649520692073,0.7354377104377101,0.6493002887608004
CAD,0.6172772829022829,0.8560923242082661,0.7258133280860553
Catch,0.3888659951159949,0.5249922268270889,0.5288540911245789
CoarseGrainedMTS,0.6074855212355208,0.7697752110728676,0.5844360674915063
HMMoE,0.6910576923076922,0.864518197851531,0.7095267556605317
HyperTimesNet,0.3632113546176045,0.4405739402646209,0.5573290459669608
LightMMoE,0.5654829545454545,0.7232482761468267,0.7344411860540891
MTSExample,0.6885375784929356,0.8156885090218422,0.7230452296241768
MTSMixerLighter,0.482297348832169,0.8036305571723907,0.6917539759295076
MTSTimesNet,0.6276230648282529,0.7555865921787703,0.8405729022750293
NewTimesNet,0.3404498619172532,0.3135426980858251,0.4030146182320093
ReconstructionMTS,0.8348214285714284,0.944444444444444,0.7414600550964184
TimeMixer,0.8416666666666661,0.6540804874138202,0.5717881778045533
