Method,machine-1,machine-2,machine-3
AMAD,0.8882148234499044,0.984001881920162,0.9022448951028388
CAD,0.9099425167692514,0.992084451890109,0.9228565901220664
Catch,0.7616681011793138,0.8626295077243354,0.7673877872899105
CoarseGrainedMTS,0.7119638394365845,0.9283940823712628,0.7816454552795858
HMMoE,0.9092403281095924,0.9843103856769416,0.9097513715659012
HyperTimesNet,0.8809677187127212,0.9717954952324658,0.9390484922180914
LightMMoE,0.9092727283169536,0.9874849888515448,0.9272135906774804
MTSExample,0.8906491423210176,0.984001881920162,0.9037568966148402
MTSMixerLighter,0.8929127033425235,0.9771766662895868,0.9430293105668296
MTSTimesNet,0.7830095722661471,0.8635997902320917,0.7993659223541472
NewTimesNet,0.9213512051223952,0.9815295229371834,0.9498730583639126
ReconstructionMTS,0.8110367361108286,0.882586442125517,0.7902473242656417
TimeMixer,0.8048933256501972,0.8481619759823618,0.7285151379304406
