Method,machine-1,machine-2,machine-3
AMAD,0.6520613955359635,0.8018658646436425,0.7167326623769456
CAD,0.7020447221999626,0.7992595159261826,0.7129261240876485
Catch,0.1613599043329355,0.3582340765674099,0.420511767925561
CoarseGrainedMTS,0.3853138886063625,0.6390095101206212,0.451674772092195
EnhancedVoting,0.551537309938952,0.6570943287609956,0.4260903696021664
EventMaster,0.2736453947218596,0.3520734287400954,0.4946898987280112
HMMoE,0.692440880663348,0.7934943184943185,0.735182391715967
HyperTimesNet,0.7142225273720957,0.8903477286810619,0.5946680965737227
LightMMoE,0.6910153104352567,0.8390505890505892,0.7447517697063976
MAAT,0.3496336408975228,0.4670065914510359,0.5187386569872958
MTSExample,0.6720327173980418,0.8284068500735168,0.7661728773344018
MTSMixerLighter,0.7639017992199019,0.7991966569744348,0.6873901053574374
MTSTimesNet,0.2369085612957207,0.3484806723695612,0.3606537896465301
NewTimesNet,0.7398046352152329,0.9008224891558224,0.5575136901815667
OmniAnomaly,0.2461510740903121,0.3897975936864826,0.3223552611937366
ReconstructionMTS,0.4909115395195305,0.4602193096637541,0.4503159675573469
SmartSimpleAD,0.6910153104352567,0.8192093192093193,0.70949081166867
TimeMixer,0.1516810327843161,0.2507877413432969,0.3306355622598817
USAD,0.5402098732625271,0.3589398250509361,0.4234757478859112
VotingEnsemble,0.4776422427122325,0.5275876181431737,0.3585518131797623
