Method,machine-1,machine-2,machine-3
AMAD,0.6175824175824175,0.6883107633107631,0.636972875609239
CAD,0.6759157509157508,0.6630970880970879,0.6617662640389912
Catch,0.1047962454212454,0.2400405150405149,0.3657872430599703
CoarseGrainedMTS,0.3027586996336996,0.4920042920042919,0.4246132655223563
EnhancedVoting,0.3812843406593406,0.4903966403966402,0.3935897435897434
EventMaster,0.2001259157509157,0.3159516409516408,0.3657925407925406
HMMoE,0.6571657509157508,0.6825415325415325,0.6659620682347953
HyperTimesNet,0.5427770146520146,0.5638074888074887,0.4031309599491416
LightMMoE,0.657967032967033,0.7774910274910273,0.6799480822208094
MAAT,0.2211996336996336,0.3444666444666443,0.3615225683407501
MTSExample,0.6363324175824175,0.7517214267214266,0.6769177791905063
MTSMixerLighter,0.6260760073260073,0.6158748658748657,0.5770873066327611
MTSTimesNet,0.1222641941391941,0.2468226218226216,0.3093293070565797
NewTimesNet,0.5787889194139194,0.599161024161024,0.3343663911845729
OmniAnomaly,0.2076808608058607,0.3201585451585449,0.2524528501801228
ReconstructionMTS,0.3910599816849817,0.3812696562696561,0.3420216147488874
SmartSimpleAD,0.5477907509157509,0.6888666888666887,0.6400720491629581
TimeMixer,0.102712912087912,0.2135854885854884,0.2482199618563254
USAD,0.4263850732600732,0.2865023865023863,0.3085293494384403
VotingEnsemble,0.4137362637362637,0.4120795870795868,0.3327929646111464
