Method,Metric,F1_mean,F1_std,F1_max,Precision_mean,Precision_std,Precision_max,Recall_mean,Recall_std,Recall_max
AMAD,best f1 under pa,0.9262,0.0427,0.9707,0.9421,0.0267,0.9582,0.9248,0.0517,0.984
AMAD,event-based f1 under pa with mode log,0.7117,0.0534,0.7643,0.7657,0.0022,0.7674,0.7236,0.0751,0.8019
AMAD,event-based f1 under pa with mode squeeze,0.5969,0.0656,0.6648,0.6628,0.0669,0.7354,0.6476,0.0365,0.6883
CAD,best f1 under pa,0.93,0.0401,0.971,0.9338,0.0274,0.9521,0.9416,0.0442,0.9921
CAD,event-based f1 under pa with mode log,0.7426,0.0619,0.8011,0.8221,0.0388,0.8564,0.7381,0.0533,0.7993
CAD,event-based f1 under pa with mode squeeze,0.6389,0.0837,0.7169,0.7331,0.1196,0.8561,0.6669,0.0078,0.6759
Catch,best f1 under pa,0.7472,0.0319,0.7747,0.7398,0.0515,0.7915,0.7972,0.0567,0.8626
Catch,event-based f1 under pa with mode log,0.2911,0.0845,0.365,0.5576,0.0418,0.5934,0.3134,0.1353,0.4205
Catch,event-based f1 under pa with mode squeeze,0.2217,0.0639,0.2612,0.4809,0.0797,0.5289,0.2369,0.1305,0.3658
CoarseGrainedMTS,best f1 under pa,0.6964,0.0486,0.7484,0.6975,0.055,0.7307,0.8073,0.1105,0.9284
CoarseGrainedMTS,event-based f1 under pa with mode log,0.4425,0.0854,0.5113,0.6582,0.0539,0.711,0.492,0.1316,0.639
CoarseGrainedMTS,event-based f1 under pa with mode squeeze,0.3646,0.1042,0.4549,0.6539,0.101,0.7698,0.4065,0.0959,0.492
HMMoE,best f1 under pa,0.9338,0.0383,0.9734,0.9477,0.0295,0.9659,0.9344,0.0432,0.9843
HMMoE,event-based f1 under pa with mode log,0.7604,0.0513,0.814,0.8388,0.0233,0.864,0.7404,0.0507,0.7935
HMMoE,event-based f1 under pa with mode squeeze,0.6604,0.0622,0.7311,0.755,0.0953,0.8645,0.6686,0.0129,0.6825
HyperTimesNet,best f1 under pa,0.8912,0.0305,0.9239,0.8693,0.0342,0.8933,0.9306,0.046,0.9718
HyperTimesNet,event-based f1 under pa with mode log,0.4795,0.0533,0.5372,0.4782,0.1407,0.6003,0.7331,0.1487,0.8903
HyperTimesNet,event-based f1 under pa with mode squeeze,0.3198,0.0557,0.355,0.4537,0.0977,0.5573,0.5032,0.0873,0.5638
LightMMoE,best f1 under pa,0.9341,0.0423,0.978,0.9413,0.0322,0.9692,0.9413,0.041,0.9875
LightMMoE,event-based f1 under pa with mode log,0.7542,0.0795,0.8263,0.8034,0.0583,0.8397,0.7583,0.0749,0.8391
LightMMoE,event-based f1 under pa with mode squeeze,0.6467,0.0851,0.7268,0.6744,0.0945,0.7344,0.7051,0.0636,0.7775
MTSExample,best f1 under pa,0.9366,0.0445,0.9798,0.9602,0.0357,0.9853,0.9261,0.0505,0.984
MTSExample,event-based f1 under pa with mode log,0.7669,0.0693,0.8355,0.8387,0.0247,0.8661,0.7555,0.0787,0.8284
MTSExample,event-based f1 under pa with mode squeeze,0.664,0.0714,0.7399,0.7424,0.0658,0.8157,0.6883,0.0585,0.7517
MTSMixerLighter,best f1 under pa,0.9268,0.0101,0.9375,0.9278,0.0254,0.9557,0.9377,0.0424,0.9772
MTSMixerLighter,event-based f1 under pa with mode log,0.6331,0.0528,0.6735,0.6395,0.1105,0.7226,0.7502,0.0572,0.7992
MTSMixerLighter,event-based f1 under pa with mode squeeze,0.5116,0.1033,0.5795,0.6592,0.1631,0.8036,0.6063,0.0258,0.6261
MTSTimesNet,best f1 under pa,0.7745,0.0399,0.8187,0.7744,0.0435,0.8156,0.8153,0.0426,0.8636
MTSTimesNet,event-based f1 under pa with mode log,0.3336,0.112,0.4491,0.6804,0.1599,0.8607,0.3153,0.0682,0.3607
MTSTimesNet,event-based f1 under pa with mode squeeze,0.2668,0.0997,0.3663,0.7413,0.1072,0.8406,0.2261,0.0952,0.3093
NewTimesNet,best f1 under pa,0.8972,0.0333,0.9259,0.8633,0.0444,0.897,0.9509,0.0301,0.9815
NewTimesNet,event-based f1 under pa with mode log,0.4807,0.0572,0.5466,0.4467,0.0976,0.5037,0.7327,0.1718,0.9008
NewTimesNet,event-based f1 under pa with mode squeeze,0.3132,0.041,0.3528,0.3523,0.0459,0.403,0.5041,0.1474,0.5992
ReconstructionMTS,best f1 under pa,0.8409,0.0559,0.9034,0.8949,0.0374,0.9366,0.828,0.0484,0.8826
ReconstructionMTS,event-based f1 under pa with mode log,0.5469,0.0192,0.5686,0.8211,0.0639,0.8613,0.4671,0.0212,0.4909
ReconstructionMTS,event-based f1 under pa with mode squeeze,0.4623,0.0239,0.477,0.8402,0.1016,0.9444,0.3715,0.026,0.3911
TimeMixer,best f1 under pa,0.7069,0.0159,0.7224,0.6999,0.0462,0.7525,0.7939,0.0606,0.8482
TimeMixer,event-based f1 under pa with mode log,0.2688,0.0435,0.3079,0.6973,0.112,0.8201,0.2444,0.0896,0.3306
TimeMixer,event-based f1 under pa with mode squeeze,0.2196,0.0363,0.2455,0.6892,0.1383,0.8417,0.1882,0.076,0.2482
